,Title,Published_date,Views,Likes,Comments,Month,Year
133,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19 10:56:23+00:00,5255,244,23,Oct,2022
134,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18 11:00:30+00:00,276657,4446,128,Oct,2022
135,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13 11:00:07+00:00,9432,334,21,Oct,2022
136,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11 11:00:42+00:00,7272,325,31,Oct,2022
137,When Best Friends Work Together (ft. Luke Barousse),2022-10-04 10:30:09+00:00,15429,677,85,Oct,2022
138,Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01 01:48:31+00:00,6705,212,14,Oct,2022
139,Full Power BI Guided Project | Microsoft Power BI for Beginners,2022-09-27 10:30:19+00:00,347207,6666,382,Sep,2022
140,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,2022-09-20 10:30:00+00:00,80888,2007,52,Sep,2022
141,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",2022-09-13 10:30:00+00:00,55167,2083,95,Sep,2022
142,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,2022-09-06 10:30:02+00:00,75448,1789,43,Sep,2022
143,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,2022-08-30 10:30:10+00:00,119297,2022,46,Aug,2022
144,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,2022-08-24 16:15:29+00:00,76582,2064,76,Aug,2022
145,Interviewing Ken Jee | The Face of Data Science on YouTube,2022-08-23 10:30:19+00:00,7093,251,15,Aug,2022
146,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,2022-08-16 10:30:00+00:00,25906,633,124,Aug,2022
147,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,2022-08-09 10:30:11+00:00,147272,2634,70,Aug,2022
148,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",2022-08-02 10:30:05+00:00,19372,834,72,Aug,2022
149,250k Subscriber Live Stream!!,2022-07-26 13:19:48+00:00,4160,157,11,Jul,2022
150,How to use DAX in Power BI | Microsoft Power BI for Beginners,2022-07-26 10:30:12+00:00,148414,3133,136,Jul,2022
151,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,2022-07-19 10:30:06+00:00,21947,619,126,Jul,2022
152,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,2022-07-12 10:30:22+00:00,180550,3350,87,Jul,2022
153,Machine Learning Specialization on Coursera | Review,2022-07-05 10:30:01+00:00,23861,761,62,Jul,2022
